prefecture,latitude,longitude
北海道,43.2203266,142.8634737
青森県,40.7657077,140.9175879
岩手県,39.5832989,141.2534574
宮城県,38.630612,141.1193048
秋田県,40.1376293,140.334341
山形県,38.5370564,140.1435198
福島県,37.3834373,140.1832516
茨城県,36.2193571,140.1832516
栃木県,36.6714739,139.8547266
群馬県,36.5605388,138.8799972
埼玉県,35.9962513,139.4466005
千葉県,35.3354155,140.1832516
東京都,35.6764225,139.650027
神奈川県,35.4913535,139.284143
新潟県,37.5178386,138.9269794
富山県,36.6958266,137.2137071
石川県,36.3260317,136.5289653
福井県,35.896227,136.2111579
山梨県,35.6635113,138.6388879
長野県,36.1543941,137.9218204
岐阜県,35.7437491,136.9805103
静岡県,35.0929397,138.3190276
愛知県,35.0182505,137.2923893
三重県,33.8143901,136.0487047
滋賀県,35.3292014,136.0563212
京都府,35.1566609,135.5251982
大阪府,34.6413315,135.5629394
兵庫県,34.8579518,134.5453787
奈良県,34.2975528,135.8279734
和歌山県,33.9480914,135.3745358
鳥取県,35.3573161,133.4066618
島根県,35.1244094,132.6293446
岡山県,34.8963407,133.6375314
広島県,34.8823408,133.0194897
山口県,34.2796769,131.5212742
徳島県,33.9419655,134.3236557
香川県,34.2225915,134.0199152
愛媛県,33.6025306,132.7857583
高知県,33.5481246,133.2521507
福岡県,33.56625590000001,130.715857
佐賀県,33.3078371,130.2271243
長崎県,33.2488525,129.6930912
熊本県,32.8594427,130.7969149
大分県,33.1589299,131.3611121
宮崎県,32.6036022,131.441251
鹿児島県,31.3911958,130.8778586
沖縄県,26.1201911,127.7025012
